"","F0056","F0155","H0054","F0130","F0177","H0086"
"(3S,6E,10E)-1,6,10,14-Phytatetraen-3-ol","5453","4918","4962","4875","5060","6189"
"N-Hexadecanoylpyrrolidine"," 4033"," 4181"," 3511"," 3350"," 4351","11948"
"Sorbitan laurate","5780","5139","4723","5333","4873","5456"
"Thiodiacetic acid","5473","5354","5717","4200","5104","5388"
"3-Hydroxytetradecanedioic acid","4782","5198","4987","4773","5362","6030"
"gamma-Glutamylisoleucine","5280","4495","4986","5516","5852","4965"
"7-Hydroxygliclazide","3929","4828","5051","4268","6431","6547"
"(-)-Epicatechin sulfate","3772","4904","5189","5426","6137","5609"
"Guanosine","5195","5370","4857","4644","4974","5947"
"Dopamine","3533","9878","4133","5599","4212","3596"
"Cardanolmonoene","5281","4697","5142","4809","5238","5679"
"7,11-Bisdeacetylvaltrate 7-(3-methylpentanoate) 11-(3-hydroxy-3-methylbutanoate)","4899","5580","5160","4503","5334","5282"
"Androstenedione","5007","4906","4618","4715","5238","6271"
"L-Arginine","5853","5614","5161","4892","4094","5124"
"20-Carboxy-leukotriene B4","4802","5118","4663","5462","5066","5465"
"LysoPC(15:0)","7225","4409","4554","4872","4392","5074"
"5-b-Cholestane-3a ,7a ,12a-triol","5406","4921","4672","4514","5481","5462"
"Linalyl benzoate","4830","4571","5055","5362","4844","5791"
"Glyoxylic acid","5880","5822","5639","4184","4392","4166"
"Acetyl-N-formyl-5-methoxykynurenamine","4898","5184","5134","4573","4510","5753"
"Chlorogenoquinone","5089","5053","4802","4828","5021","5177"
"DHAP(8:0)","4585","4757","4378","5128","5887","5196"
"6alpha-Hydroxy-castasterone","5108","4861","4514","4197","5501","5724"
"Carbimazole","4659","5831","3979","4319","5265","5831"
"Domesticoside","4636","5321","4335","5145","5333","5027"
"L-Methionine","4934","5026","4589","5396","4636","5150"
"MG(0:0/22:2(13Z,16Z)/0:0)","4595","4890","5171","4395","4866","5788"
"Adenosine 3',5'-diphosphate","4317","7581","3655","4639","4826","4656"
"Deoxyinosine","4855","4360","4273","5050","5525","5528"
"3a,7a-Dihydroxycoprostanic acid","5295","4866","4602","3953","4797","5995"
"Serylvaline","5437","5000","4227","5879","3940","5021"
"Estrone sulfate","4872","5127","4602","4639","4842","5409"
"Acetylphosphate","4995","4904","4891","5094","4917","4661"
"Dehydrocyanaropicrin","5252","4689","4637","4820","4912","5084"
"(E)-1-[4-Hydroxy-3-(3-methyl-1,3-butadienyl)phenyl]-2-(3,5-dihydroxyphenyl)ethylene","4641","4802","5035","5402","4821","4620"
"Bilirubin","4930","5390","4426","4499","5037","4951"
"Ricinine","4397","4560","4766","5396","4606","5298"
"Gibberellin A3","5466","4873","4063","4855","4463","5174"
"DG(15:0/18:0/0:0)","5886","4665","3901","4034","4990","5375"
"Sannamycin A","5124","4891","4588","4202","5182","4797"
"Pravastatin","4967","4591","4461","4525","4818","5344"
"3-Methylcyclopentadecanone","4821","5081","4761","4381","4504","5146"
"Asparaginyl-Hydroxyproline","4596","4531","4362","4604","5124","5425"
"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''2a'' aglycone","4845","4818","4744","3589","4887","5550"
"Gomphidic acid","4353","5540","4415","4490","4727","4822"
"Allylestrenol","4657","4585","4552","4686","4806","4964"
"6-Epi-7-isocucurbic acid glucoside","4723","4280","4428","4276","4623","5893"
"1-Pentanesulfenothioic acid","5208","4410","3961","4836","4617","5138"
"Macrocin","4548","4593","4693","4717","4915","4698"
"Cervonoyl ethanolamide","5094","4174","4530","4461","4516","5356"
"Citicoline","4096","4810","4403","4784","5320","4699"
"Tetracosahexaenoic acid","9417","3377","3506","3958","3822","4029"
"Phaseolic acid","4106","4867","3989","5110","4792","5222"
"Sulfametopyrazine","5359","5177","4176","4877","4104","4374"
"Zapotinin","5757","4869","3917","4366","3944","5197"
"Nervonic acid","8560","3562","3331","3837","3590","4979"
"makisterone B","5562","4361","4015","4246","4339","5221"
"Benzamide","4519","5046","3867","4535","4303","5440"
"10-Deacetyl-2-debenzoylbaccatin III","4760","4738","4499","4607","4395","4538"
"Nookatone","4407","4093","4049","4665","4809","5365"
"S-(3-Methyl-2-butenyl) ethanethioate","4379","4940","4544","4840","4211","4458"
"9-(3,4-Dimethoxyphenyl)-2-methoxy-1H-phenalen-1-one","4221","4461","4578","4743","4402","4913"
"Geranyl 3-methylbutanoate","4457","4334","4315","4511","4719","4905"
"N-Feruloylglycyl-L-phenylalanine","4407","4733","4591","4231","4895","4338"
"3,17-Androstanediol glucuronide","4897","4094","4075","4505","4624","4956"
"Spermic acid 2","4997","4516","4582","4051","4212","4746"
"3,7-Dimethylquercetin","4200","3933","4335","4572","5046","4998"
"Diethyl tartrate","4019","4090","4335","4044","5201","5356"
"Dimethylglycine","5146","4228","3980","5696","3918","4069"
"Androsterone sulfate","4726","4624","3426","4520","4850","4889"
"1-Phenanthrol","4666","3984","4808","4574","3345","5579"
"Liquiritin","4601","4086","4026","4522","4705","4945"
"Corchoionoside B","4652","3756","4394","4431","4639","4938"
"Tryptamine","4580","4978","3763","4294","4616","4491"
"N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]-Glycine","4236","4534","4635","3962","4441","4904"
"Porrigenin A","4625","4597","4133","4025","4160","5116"
"Chrysoobtusin","4639","4760","4166","4635","3912","4442"
"L-Dopa","4494","4702","4213","4599","4228","4296"
"(3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol","4173","4387","4439","4465","4001","4936"
"Methyl linoleate","4208","4306","4124","4369","4486","4887"
"Cytosine","4289","4563","5014","4579","3859","4039"
"Tetracosapentaenoic acid (24:5n-6)","6473","3860","3285","3609","3904","5205"
"9,10,13-Trihydroxystearic acid","6897","3715","4551","3153","3493","4387"
"2-Indolecarboxylic acid","4381","4125","4269","3926","4889","4595"
"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate","4805","4043","4331","3995","4050","4845"
"5-Megastigmen-7-yne-3,9-diol 9-glucoside","3895","4479","3942","4509","4379","4811"
"LysoPC(10:0)","4134","3997","3566","3391","4277","6615"
"Futalosine","4495","4259","4271","4135","4101","4665"
"5,5',6,6'-Tetrahydroxy-3,3'-biindolyl","4017","4539","3666","4331","4782","4361"
"Blighinone","4279","4140","4385","4228","4257","4391"
"Guanosine diphosphate","4029","7081","2931","4208","3238","4161"
"Deoxycholic acid glycine conjugate","4715","4003","4062","3860","4532","4434"
"Methyl 5-(1-Propynyl)-2-thiophenepropanoate","3922","4251","4137","4624","3821","4843"
"27-Nor-5b-cholestane-3a,7a,12a,24,25-pentol","4203","4533","4236","3747","3881","4991"
"Adenine.1","4322","4028","3800","4087","4431","4875"
"2-Aminomuconic acid","4535","4186","4359","4181","3988","4262"
"Oxoglutaric acid","4229","3964","4285","4495","4774","3757"
"Capryloylglycine","3254","4297","4504","4562","4285","4455"
"Codeine","5057","3731","4042","4075","4013","4379"
"Homodolichosterone","4466","5479","3839","3556","3516","4399"
"Creatinine","3955","4911","4472","4250","3334","4195"
"N-Acetyl-L-phenylalanine","3405","3290","5501","3906","3405","5561"
"MG(0:0/18:2(9Z,12Z)/0:0)","3511","4189","3232","3669","3685","6755"
"Deoxyuridine triphosphate","4416","4688","4011","3503","4319","4100"
"6-Deoxodolichosterone","4835","4378","3340","3673","4226","4385"
"Betaine","5313","4434","2873","4291","3543","4365"
"Hippuric acid","3989","4338","3569","3846","4320","4750"
"5-Hydroxymethyl-4-methyluracil","4116","4204","4252","4144","4340","3645"
"N-Acetyl-L-methionine","4322","3776","4409","4020","4166","3992"
"Ganoderic acid L","3755","4320","4164","3699","3733","4931"
"5a-Androstan-3b-ol","3495","4081","3845","4110","4366","4666"
"Indole","4846","4312","3857","3879","3646","3961"
"Capsianoside V","4056","3595","3791","4311","4441","4256"
"3-O-p-Coumaroylquinic acid","3771","3953","3662","3871","3963","5028"
"Dihydrohydroxy-O-methylsterigmatocystin","3709","3944","3732","3807","4073","4970"
"Linoleoyl ethanolamide","4226","3727","3655","4132","4022","4470"
"(1R,3S,4S,6R)-6,9-Dihydroxyfenchone 6-O-b-D-glucoside","4308","3823","3739","3613","4293","4450"
"6-Methyladenine","3530","5731","3481","3644","4071","3759"
"Artocarpesin","3563","3747","3619","3732","4239","5275"
"1,2,4-Nonadecanetriol","7893","3316","3211","3210","3128","3377"
"Wistin","4319","4105","3661","3731","4175","4029"
"Brassinolide","4348","4005","3198","4128","4172","4097"
"L-Histidine","3984","3282","3763","3600","3742","5525"
"Biflorin","4082","3974","3570","4758","3075","4370"
"Dehydroepiandrosterone","4573","3387","3678","3697","3690","4676"
"Nifedipine","3901","4142","4136","3503","3579","4386"
"Biliverdin","3727","4090","3660","3533","4616","3998"
"16-a-Hydroxypregnenolone","4703","4247","4053","2663","3772","4149"
"Istamycin KL1","3802","4037","3626","3291","4278","4456"
"13'-Hydroxy-gamma-tocotrienol","3728","3457","4014","3779","3889","4623"
"DG(15:0/18:1(11Z)/0:0)","4559","3277","3392","3799","4051","4408"
"L-Aspartic acid","4543","3385","3658","4285","3696","3861"
"N2-(D-1-Carboxyethyl)-L-arginine","4610","3828","4211","3096","3462","4176"
"Maltitol","3844","4183","3951","3240","4059","4104"
"Hydroxystrobilurin D","4344","3936","3790","3701","3748","3829"
"Glyceric acid","3913","3938","3813","3707","3792","4159"
"Allopregnanolone","4486","3955","3381","3836","3911","3742"
"24-Hydroxycalcitriol","4050","3999","4048","3561","3533","4085"
"Polyoxyethylene 40 monostearate","4833","3714","3038","3187","3465","4999"
"PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))","4077","3625","3803","3671","3837","4164"
"13'-Hydroxy-gamma-tocopherol","4530","4198","3415","3523","3497","3968"
"1-Pentanethiol","3489","4476","3780","3573","3840","3856"
"L-Tryptophan","4441","4569","2843","3812","3305","3982"
"Penitrem D","3539","4139","3792","3200","3652","4618"
"(1xi,3S)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-1,3-dicarboxylic acid","4063","3259","3134","3931","3950","4586"
"Acrolein","3189","3986","4204","3011","4195","4227"
"Palmitoylglycine","3127","3758","3433","4390","3381","4609"
"Alanyl-Isoleucine","4039","3996","3386","3418","3645","4003"
"Momordol","3253","3426","3362","4149","3706","4569"
"L-3-Aminodihydro-2(3H)-furanone","3799","3986","3477","3554","3629","3808"
"N(6)-Methyllysine","4197","3714","3816","3344","3319","3774"
"MG(0:0/18:3(6Z,9Z,12Z)/0:0)","3567","3458","3258","3874","3451","4554"
"Deoxycorticosterone","3620","3418","3222","3768","3654","4276"
"Adrenoyl ethanolamide","4078","3633","3652","3377","3378","3752"
"Pipericine"," 2175"," 2351"," 2146"," 1673"," 2114","11250"
"13'-Carboxy-gamma-tocopherol","4041","3724","3312","3137","3303","4144"
"Dehydroepiandrosterone sulfate","3113","3985","4036","3402","3445","3483"
"Aniline","3014","3960","3596","3391","3814","3672"
"Unshuoside A","3265","3859","3969","3266","2863","4187"
"5beta-scymnol","3621","3396","3068","3599","3347","4359"
"Hydroxyminaline","5903","2378","2740","3798","2779","3739"
"Indoxyl","4838","3923","3036","2846","3652","3016"
"Adenosine","2924","3812","3311","3358","3999","3883"
"PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))","3466","3589","3394","3046","3642","4024"
"Pregnenolone","3780","3443","3455","3290","3564","3600"
"1-Pyrroline-5-carboxylic acid","3748","3650","3459","3867","3620","2746"
"Pitheduloside I","4766","3287","2524","2814","3419","4207"
"Fasciculol C","4377","3458","3119","2693","3172","4160"
"Trimetaphosphoric acid","3816","3820","3083","3563","3479","3124"
"6-Keto-prostaglandin F1a","3646","3383","3225","2671","3559","4372"
"b-D-fructosyl-a-D-(6-O-(E))-feruloylglucoside","3364","3038","3295","3382","4094","3653"
"Maslinic acid","4603","2955","3364","3256","3358","3247"
"Isobutyrylglycine","3187","4582","3032","3571","3088","3320"
"11'-Carboxy-alpha-chromanol","2815","4148","3374","3404","3279","3739"
"Phenylacetylglycine","3092","3148","2970","3264","2955","5257"
"1,7-Dimethylguanosine","3350","3639","3171","3293","3892","3337"
"Stearyl citrate","2941","3722","3543","2926","3425","4121"
"IDP","3210","3795","3411","2837","3844","3579"
"Curcumin","2856","3684","4834","3075","3047","3072"
"13'-Carboxy-alpha-tocopherol","3766","3715","2704","3839","2792","3716"
"Propranolol","3762","3310","3135","2866","3748","3636"
"(3beta,5alpha,9alpha,14alpha,22E,24R)-3,5,9,14-Tetrahydroxyergosta-7,22-dien-6-one","3472","3874","2855","3100","3527","3519"
"24,25-Dihydroxyvitamin D","3870","3183","3472","3192","3095","3239"
"MG(P-18:0e/0:0/0:0)","3635","2958","2819","3165","3293","3908"
"Adlupone","2784","3272","3581","2932","3509","3537"
"Paraoxon","3195","2858","3293","3254","3309","3702"
"Sulfapyridine","3573","3278","3264","3024","3004","3420"
"5-(14-Nonadecenyl)-1,3-benzenediol","3764","3085","2925","2899","3038","3842"
"Plastoquinone 8","3246","2924","2901","3367","3442","3598"
"Barringtogenol C","3986","2886","2887","2850","3290","3464"
"GDP-L-fucose","2636","3199","2449","2618","2901","5506"
"N-Acetyl-L-methionine.1","3352","3516","2954","3005","2900","3562"
"Adrenic acid","4292","3473","2761","2575","3222","2962"
"LysoPA(0:0/18:1(9Z))","2990","3205","3135","3234","3237","3431"
"Dobutamine","3254","3422","2775","3272","3098","3334"
"Austalide A","3360","3596","3107","2813","2806","3325"
"2-Methylbutyrylglycine","3333","3224","3295","3311","2893","2930"
"3-Oxo-4,6-choladienoic acid","3134","3336","2464","3014","2792","4204"
"Docosahexaenoic acid","3925","3167","2444","3022","3069","3313"
"Propylene glycol mono- and diesters of fats and fatty acids","4446","2801","3035","2781","2927","2938"
"Maltotriose","3828","2957","3232","2853","2623","3255"
"13'-Hydroxy-alpha-tocotrienol","4040","3021","2748","2262","2935","3690"
"11-beta-Hydroxyandrosterone-3-glucuronide","3125","3050","3100","2730","2881","3802"
"8,8-Diethoxy-2,6-dimethyl-2-octanol","3388","2869","3082","2709","3268","3356"
"CerP(d18:1/16:0)","3860","3080","3142","2730","2593","3230"
"N-Acetylvanilalanine","3691","3869","2715","2968","2241","3008"
"Indole-3-propionic acid","3116","3060","2971","2958","2462","3877"
"Alpha-Hydroxyisobutyric acid","3367","3155","3251","2694","2670","3138"
"3-beta-Hydroxy-4-beta-methyl-5-alpha-cholest-7-ene-4-alpha-carboxylate","3628","3245","2448","2698","2758","3456"
"4-(3-Pyridyl)-3-butenoic acid","4052","2914","3074","2640","2510","3012"
"DG(15:0/18:2(9Z,12Z)/0:0)","3657","3252","2586","2502","3002","3185"
"psi-Taraxasteryl acetate","3193","3358","2374","3395","2740","3116"
"8-Hydroxy-7-methylguanine","3039","2786","3459","2985","2837","2880"
"(3beta,5alpha,9alpha,22E,24R)-3,5,9-Trihydroxy-23-methylergosta-7,22-dien-6-one","3419","2874","2695","2583","3050","3070"
"Docosapentaenoic acid (22n-6)","3790","3112","2302","2983","2154","3279"
"(3beta,5alpha,9alpha,22E,24R)-5,9-Epidioxy-3-hydroxyergosta-7,22-dien-6-one","2814","2836","2779","3128","3176","2841"
"Glycocholic acid","3045","3019","2702","2369","3239","3154"
"Silibinin","2829","3216","2852","2691","2833","3026"
"Stearyl citrate.1","2526","3413","2606","2750","2724","3376"
"3-Hydroxy-1-phenyl-1-heptadecanone","2521","2775","2246","3026","3340","3354"
"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone","3709","2468","3331","2380","2493","2818"
"2-Heptanethiol","3960","2983","2172","3026","2390","2615"
"Ropinirole","5723","3119","2014","1826","2352","2092"
"Dextromethorphan","2528","2839","2655","2604","2873","3615"
"Stearaldehyde","2868","3120","2708","2619","2765","3033"
"Docosatrienoic acid","3295","2856","2472","2533","2532","3395"
"Pantothenic acid","3282","2866","2714","2324","2859","3025"
"Chloropanaxydiol","2693","2793","3068","2530","2792","3163"
"Ne,Ne dimethyllysine","3099","2910","3009","2577","2548","2775"
"(2R,2'S)-Isobuteine","3911","2452","2227","2452","2944","2889"
"Homoanserine","3019","2630","2561","2909","2544","3095"
"Margaroylglycine","2060","2796","2265","3024","2904","3693"
"Azomycin","2833","2364","3021","2879","2697","2811"
"5a-Cholestane-3a,7a,12a,25-tetrol","2976","2551","2489","2192","2846","3543"
"Theasapogenol A","3501","2561","2554","2338","2667","2853"
"DG(15:0/22:4(7Z,10Z,13Z,16Z)/0:0)","9887","1070","1255","1091","1122","1946"
"Medicagenic acid","5715","2161","1873","2100","1737","2726"
"Pipecolic acid","3293","3220","2332","2475","2449","2489"
"Uridine diphosphate glucuronic acid","2349","2649","2891","2459","2808","3069"
"(3b,24R,25x)-26-Benzoyloxystigmast-5-ene-3-ol","2721","2684","2544","2553","2867","2805"
"N-Formyl-L-methionine","2194","2476","2496","2595","3166","3194"
