Query,Match,HMDB,PubChem,KEGG,SMILES,Comment,Pathway
Naphthalene epoxide,Naphthalene epoxide,HMDB0006215,17395784,C14786,C1=CC=C2C3C(O3)C=CC2=C1,1,
Aesculetin,Aesculetin,HMDB0030819,5281416,C09263,C1=CC(=O)OC2=CC(=C(C=C21)O)O,1,
2-Aminomuconic acid semialdehyde,2-Aminomuconic acid semialdehyde,HMDB0001280,5280625,C03824,C(=C\C=O)\C=C(/C(=O)O)\N,1,
3-Methylcrotonyl-CoA,3-Methylcrotonyl-CoA,HMDB0001493,9549326,C03069,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)C,1,
Propyl propane thiosulfonate,Propyl propane thiosulfonate,HMDB0032496,358296,NA,COC(=O)C(C1CCCC(=O)C1)C(=O)OC,1,
(7R)-7-(4-Carboxybutanamido)cephalosporanate,(7R)-7-(4-Carboxybutanamido)cephalosporanate,NA,17396655,C15666,NA,1,
"5,10-Methenyltetrahydrofolic acid","5,10-Methenyltetrahydrofolic acid",HMDB0001354,644350,C00445,C1[C@@H]2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)[O-],1,
4-Heptenal diethyl acetal,4-Heptenal diethyl acetal,HMDB0032306,97750,C04067,CCOC(=O)C(C)C(=O)C(=O)OCC,1,
12-Ketodeoxycholic acid,12-Ketodeoxycholic acid,HMDB0000328,3080612,NA,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,1,
"Polyethylene, oxidized","Polyethylene, oxidized",HMDB0032472,24847855,NA,CC(C(CCCCC=O)O)C(=O)CCC(=O)O,1,
Lactapiperanol C,Lactapiperanol C,HMDB0033630,85158920,NA,COC1OCC2(O)C(O)C3CC(C)(C)CC3C3(C)CC123,1,
"1,11-Undecanedicarboxylic acid","1,11-Undecanedicarboxylic acid",HMDB0002327,10458,NA,C(CCCCCC(=O)O)CCCCCC(=O)O,1,
Proflavine,Proflavine,HMDB0015255,7099,C11181,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N,1,
Inositol cyclic phosphate,Inositol cyclic phosphate,HMDB0001125,122331,C04299,[C@@H]1([C@@H]([C@H]([C@H]2[C@@H]([C@@H]1O)OP(=O)(O2)O)O)O)O,1,
3-Hydroxysebacic acid,3-Hydroxysebacic acid,HMDB0000350,3017884,NA,C(CCCC(=O)O)CCC(CC(=O)O)O,1,
3-Hydroxy-5-methylhex-4-enoyl-CoA,3-Hydroxy-5-methylhex-4-enoyl-CoA,HMDB0060373,9549330,C16469,CC(C)=CC(O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12,1,
Digoxin,Digoxin,HMDB0001917,2724385,C06956,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,1,
"4',7-Di-O-methylcatechin","4',7-Di-O-methylcatechin",HMDB0030663,67233966,NA,COC1=CC(O)=C2CC(O)C(OC2=C1)C1=CC(O)=C(OC)C=C1,1,
cis-(Homo)3-aconitate,cis-(Homo)3-aconitate,NA,172232319,C20582,NA,1,
D-Glucuronic acid,D-Glucuronic acid,HMDB0000127,94715,C00191,[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O,1,
Eugenitin,Eugenitin,HMDB0029467,3083581,NA,CC1=CC(=O)C2=C(C(=C(C=C2O1)OC)C)O,1,
Glutaconic acid,Glutaconic acid,HMDB0000620,5280498,C02214,C(/C=C/C(=O)O)C(=O)O,1,
Methyl 2-octynoate,Methyl 2-octynoate,HMDB0031302,8092,NA,CCCCCC#CC(=O)OC,1,
Monoethyl malonic acid,Monoethyl malonic acid,HMDB0000576,70615,NA,CCOC(=O)CC(=O)O,1,
p-Anisidine,p-Anisidine,HMDB0029300,7732,C19326,COC1=CC=C(C=C1)N,1,
Pyroglutamic acid,Pyroglutamic acid,HMDB0000267,7405,C01879,C1CC(=O)N[C@@H]1C(=O)O,1,
3-Hydroxycapric acid,3-Hydroxycapric acid,HMDB0002203,26612,NA,CCCCCCCC(CC(=O)O)O,1,
3-Hexenedioic acid,3-Hexenedioic acid,HMDB0000393,5351896,NA,C(/C=C/CC(=O)O)C(=O)O,1,
Gamma-Tocotrienol,Gamma-Tocotrienol,HMDB0012958,5282349,C14155,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)O,1,
2-Octenoic acid,2-Octenoic acid,HMDB0000392,5282713,NA,CCCCC/C=C\C(=O)O,1,
Leukotriene A4,Leukotriene A4,HMDB0001337,5280383,C00909,CCCCC/C=C\C/C=C\C=C\C=C\[C@H]1[C@@H](O1)CCCC(=O)O,1,
Zymonic acid,Zymonic acid,HMDB0031210,71436380,NA,CC1(OC(=O)C(O)=C1)C(O)=O,1,
Cyclovariegatin,Cyclovariegatin,HMDB0029682,NA,NA,OC1=CC=C(C=C1O)C1=C(O)C(=O)C2=C(OC3=C2C=C(O)C(O)=C3)C1=O,1,
Cyclotetradecane,Cyclotetradecane,HMDB0033567,67524,C04277,C1CCCCCCCCCCCCC1,1,
4-Methylthiobutylthiohydroximate,4-Methylthiobutylthiohydroximate,METPA1747,NA,C17243,NA,1,
Homophytanic acid,Homophytanic acid,HMDB0002337,3080668,NA,CC(C)CCCC(C)CCCC(C)CCCC(C)CCC(=O)O,1,
Vanillylmandelic acid,Vanillylmandelic acid,HMDB0000291,736172,C05584,COC1=C(C=CC(=C1)[C@@H](C(=O)O)O)O,1,
Lupiwighteone hydrate 7-glucoside,Lupiwighteone hydrate 7-glucoside,HMDB0034813,131751626,NA,CC(C)(O)CCC1=C(OC2OC(CO)C(O)C(O)C2O)C=C(O)C2=C1OC=C(C2=O)C1=CC=C(O)C=C1,1,
Phlorin,Phlorin,HMDB0035589,12314169,NA,OCC1OC(OC2=CC(O)=CC(O)=C2)C(O)C(O)C1O,1,
"15-Keto-13,14-dihydroprostaglandin A2","15-Keto-13,14-dihydroprostaglandin A2",HMDB0001244,5283042,NA,CCCCCC(=O)CC[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,1,
16-Dehydroprogesterone,16-Dehydroprogesterone,HMDB0000995,101964,C03207,CC(=O)C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,1,
"1,2,3,4-Tetrahydro-beta-carboline","1,2,3,4-Tetrahydro-beta-carboline",HMDB0012488,107838,NA,C1CNCC2=C1C3=CC=CC=C3N2,1,
5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,5-Hexyltetrahydro-2-oxo-3-furancarboxylic acid,HMDB0030984,10375946,NA,CCCCCCC1CC(C(=O)O1)C(=O)O,1,
Hexacosanoic acid,Hexacosanoic acid,HMDB0002356,10469,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,1,
5-Methoxycanthin-6-one,5-Methoxycanthin-6-one,HMDB0030227,259218,NA,COC1=CC2=NC=CC3=C2N(C1=O)C4=CC=CC=C34,1,
Eicosadienoic acid,Eicosadienoic acid,HMDB0005060,6439848,C16525,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O,1,
4-Pyridoxic acid,4-Pyridoxic acid,HMDB0000017,6723,C00847,CC1=NC=C(C(=C1O)C(=O)O)CO,1,
(R)-Pterosin B,(R)-Pterosin B,HMDB0030759,5320780,NA,CC1CC2=CC(=C(C(=C2C1=O)C)CCO)C,1,
Delta-Hexanolactone,Delta-Hexanolactone,HMDB0000453,13204,NA,CC1CCCC(=O)O1,1,
"2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene","2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]nona-3,8-diene",HMDB0030007,11745236,NA,CC1(C=CC2(O1)C=CC(O2)(C)C)C,1,
Miltirone,Miltirone,HMDB0035080,160142,C13715,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,1,
Ciliatine,Ciliatine,HMDB0011747,339,C03557,C(CP(=O)(O)O)N,1,
"(E)-2-Tridecene-4,6,8-triyn-1-ol","(E)-2-Tridecene-4,6,8-triyn-1-ol",HMDB0030931,101412523,NA,CCCCC#CC#CC#C\C=C\CO,1,
(Z)-3-(1-Formyl-1-propenyl)pentanedioic acid,(Z)-3-(1-Formyl-1-propenyl)pentanedioic acid,HMDB0033091,22394751,NA,C\C=C(/C=O)C(CC(O)=O)CC(O)=O,1,
"12-Oxo-2,3-dinor-10,15-phytodienoic acid","12-Oxo-2,3-dinor-10,15-phytodienoic acid",HMDB0032090,131751254,NA,CC\C=C\CC1C(CCCCCC(O)=O)C=CC1=O,1,
Deoxyuridine,Deoxyuridine,HMDB0000012,13712,C00526,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,1,
Undecanedioic acid,Undecanedioic acid,HMDB0000888,15816,NA,C(CCCCC(=O)O)CCCCC(=O)O,1,
Saccharin,Saccharin,HMDB0029723,5143,C12283,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,1,
"5a,6a-Epoxy-7E-megastigmene-3a,9e-diol 3-glucoside","5a,6a-Epoxy-7E-megastigmene-3a,9e-diol 3-glucoside",HMDB0031676,131751181,NA,CC(O)\C=C\C12OC1(C)CC(CC2(C)C)OC1OC(CO)C(O)C(O)C1O,1,
Myrigalone E,Myrigalone E,HMDB0030755,15747330,NA,CC1=C(C=C(C(=C1O)C(=O)CCC2=CC=CC=C2)OC)OC,1,
Bluensidine 6-phosphate,Bluensidine 6-phosphate,NA,96023917,C17572,NA,1,
2-Arachidonylglycerol,2-Arachidonylglycerol,HMDB0004666,5282280,C13856,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO,1,
Benzaldehyde,Benzaldehyde,HMDB0006115,240,C00261,C1=CC=C(C=C1)C=O,1,
Berberine,Berberine,HMDB0003409,2353,C00757,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,1,
2-Methyl-2-cyclopenten-1-one,2-Methyl-2-cyclopenten-1-one,HMDB0031545,14266,NA,CC1=CCCC1=O,1,
Ureidopropionic acid,Ureidopropionic acid,HMDB0000026,111,C02642,C(CNC(=O)N)C(=O)O,1,
Leukotriene B4,Leukotriene B4,HMDB0001085,5283128,C02165,CCCCC/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O,1,
Vitamin A2 aldehyde,Vitamin A2 aldehyde,HMDB0035695,5280866,C05918,CC1=C(C(CC=C1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,1,
Dihydro-5-(2-octenyl)-2(3H)-furanone,Dihydro-5-(2-octenyl)-2(3H)-furanone,HMDB0030867,5853952,NA,CCCCC/C=C/CC1CCC(=O)O1,1,
Tocopheronic acid,Tocopheronic acid,HMDB0030555,67764516,NA,CC1=C(C)C(=O)C(CCC(C)(O)CCC(O)=O)=C(C)C1=O,1,
Dimercaprol,Dimercaprol,HMDB0015677,3080,C02924,C(C(CS)S)O,1,
2-Hydroxymyristic acid,2-Hydroxymyristic acid,HMDB0002261,1563,NA,CCCCCCCCCCCCC(C(=O)O)O,1,
Artabsinolide A,Artabsinolide A,HMDB0035620,74039602,NA,CC1C2CCC(C)(O)C3=C(C2OC1=O)C(C)(O)CC3=O,1,
Tricosanoic acid,Tricosanoic acid,HMDB0001160,17085,NA,CCCCCCCCCCCCCCCCCCCCCCC(=O)O,1,
"1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione","1-(2,4,6-Trimethoxyphenyl)-1,3-butanedione",HMDB0030668,5317271,NA,CC(=O)CC(=O)C1=C(C=C(C=C1OC)OC)OC,1,
Warfarin,Warfarin,HMDB0001935,54678486,C01541,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,1,
(R)-Dihydromaleimide,(R)-Dihydromaleimide,HMDB0030276,353549,NA,C1=CC(=O)NC1O,1,
Pentadecanal,Pentadecanal,HMDB0031078,17697,C01948,CCCCCCCCCCCCCCC=O,1,
Methyl propenyl ketone,Methyl propenyl ketone,HMDB0001184,637920,NA,C/C=C/C(=O)C,1,
Famotidine,Famotidine,HMDB0001919,3325,NA,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,1,
beta-Damascenone,beta-Damascenone,HMDB0013804,5366074,NA,C\C=C\C(=O)C1=C(C)C=CCC1(C)C,1,
Versicolorin A,Versicolorin A,NA,172232320,C20583,NA,1,
Cinnzeylanine,Cinnzeylanine,HMDB0036011,85379763,NA,CC(C)C1(O)CC2(O)C3(C)CC4(O)OC5(C(OC(C)=O)C(C)CCC35O)C2(O)C14C,1,
Lisuride,Lisuride,HMDB0014727,28864,NA,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,1,
"4-(3-Methyl-1-butenyl)-3,3',4',5-tetrahydroxystilbene","4-(3-Methyl-1-butenyl)-3,3',4',5-tetrahydroxystilbene",HMDB0030600,131751057,NA,CC(C)\C=C\C1=C(O)C=C(\C=C/C2=CC(O)=C(O)C=C2)C=C1O,1,
Xanthylic acid,Xanthylic acid,HMDB0001554,73323,C00655,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,1,
Melibiose,Melibiose,HMDB0000048,440658,C05400 ,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,1,
Triacetin,Triacetin,HMDB0029592,5541,NA,CC(=O)OCC(COC(=O)C)OC(=O)C,1,
8-iso-15-keto-PGE2,8-iso-15-keto-PGE2,HMDB0002341,53477750,NA,CCCCCC(=O)/C=C/[C@@H]1[C@@H](C(=O)CC1O)C/C=C\CCCC(=O)O,1,
Limocitrin,Limocitrin,HMDB0029516,5489485,NA,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)OC)O)O,1,
"3,3'-Dihydroxy-4',5,7-trimethoxyflavan","3,3'-Dihydroxy-4',5,7-trimethoxyflavan",HMDB0030664,67233312,NA,COC1=CC(OC)=C2CC(O)C(OC2=C1)C1=CC(O)=C(OC)C=C1,1,
Dextrorphan O-glucuronide,Dextrorphan O-glucuronide,HMDB0010341,24883428,NA,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,1,
Chondroitin,Chondroitin,HMDB0000629,53477707,C00401,CC(=O)N[C@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)OC2[C@@H]([C@@H](C=C(O2)C(=O)O)O)O,1,
Coriandrone E,Coriandrone E,HMDB0029971,131750935,NA,COC1=C2C=COC2=CC2=C1C(=O)OC(C)C2O,1,
"(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran","(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran",HMDB0030486,131751030,NA,CC(=C)C1CC2=CC(C(=O)CO)=C(O)C=C2O1,1,
(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone,(+/-)-3-[(2-methyl-3-furyl)thio]-2-butanone,HMDB0032401,12980878,NA,CC1=C(C=CO1)SC(C)C(=O)C,1,
Thyrotropin releasing hormone,Thyrotropin releasing hormone,HMDB0060080,638678,C03958,[H][C@@](CC1=CN=CN1)(NC(=O)[C@]1([H])CCC(=O)N1)C(=O)N1CCC[C@@]1([H])C(N)=O,1,
Polystyrene sulfonate,Polystyrene sulfonate,HMDB0015435,75905,NA,OS(=O)(=O)C1=CC=C(C=C)C=C1,1,
"1-hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone","1-hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone",NA,11988260,C04719,O=C1c2ccccc2C(=O)c2c1ccc(O1O(CO)(O)(O)1O)c2O,1,
Taurine,Taurine,HMDB0000251,1123,C00245,C(CS(=O)(=O)O)N,1,
Rhazidigenine Nb-oxide,Rhazidigenine Nb-oxide,HMDB0030263,626805,NA,CCC12CCC[N+](C1)(CCC3(C(=NC4=CC=CC=C43)CC2)O)[O-],1,
Xenognosin A,Xenognosin A,HMDB0029539,5281296,C08731,COC1=C(C=CC(=C1)O)C/C=C/C2=CC=C(C=C2)O,1,
Caffeoylmalic acid,Caffeoylmalic acid,HMDB0029318,6124299,NA,C1=CC(=C(C=C1/C=C/C(=O)OC(CC(=O)O)C(=O)O)O)O,1,
O-Desmethylangolensin,O-Desmethylangolensin,HMDB0004629,89472,NA,CC(C1=CC=C(C=C1)O)C(=O)C2=C(C=C(C=C2)O)O,1,
Gamma-CEHC,Gamma-CEHC,HMDB0001931,15887183,NA,CC1=C(C2=C(CCC(O2)(C)CCC(=O)O)C=C1)C,1,
3'-O-methyl-(-)-epicatechin,3'-O-methyl-(-)-epicatechin,HMDB0029175,11420256,NA,COC1=C(C=CC(=C1)[C@@H]2[C@@H](CC3=C(C=C(C=C3O2)O)O)O)O,1,
2-Methoxyestradiol-3-methylether,2-Methoxyestradiol-3-methylether,HMDB0000344,11301534,NA,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)OC,1,
4-Hydroxyvalsartan,4-Hydroxyvalsartan,HMDB0013848,9911647,NA,CC(C)[C@@H](C(=O)O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(=O)CCC(C)O,1,
"2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione","2,2,4,4-Tetramethyl-6-(1-oxobutyl)-1,3,5-cyclohexanetrione",HMDB0033197,68361950,NA,CCCC(=O)C1C(=O)C(C)(C)C(=O)C(C)(C)C1=O,1,
Salicin,Salicin,HMDB0003546,439503,C01451,C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,1,
Iminoaspartic acid,Iminoaspartic acid,HMDB0001131,796,C05840,C(C(=N)C(=O)O)C(=O)O,1,
Diaminopimelic acid,Diaminopimelic acid,HMDB0001370,99290,C00666,C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N,1,
Marmesin,Marmesin,HMDB0030786,604512,C09276,CC(C)(C1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O,1,
Dillapional,Dillapional,HMDB0030582,92475849,NA,COC1=C(OC)C(\C=C/C=O)=CC2=C1OCO2,1,
BR-Xanthone B,BR-Xanthone B,HMDB0033326,14034125,NA,COC1=C2C(=O)C3=C(OC2=C(O)C=C1O)C(O)=CC=C3,1,
Chenodeoxycholic acid sulfate,Chenodeoxycholic acid sulfate,HMDB0002522,21252308,NA,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(C[C@H]4[C@@]3(CC[C@H](C4)O)C)OS(=O)(=O)O)C,1,
Tanacetol B,Tanacetol B,HMDB0035075,131751660,NA,CC(=O)O\C1=C(C)\CCC(CC(O)C(=C)CC1)C(C)(C)O,1,
2-Hydroxyadipic acid,2-Hydroxyadipic acid,HMDB0000321,193530,C02360,C(CC(C(=O)O)O)CC(=O)O,1,
Divanillyltetrahydrofuran ferulate,Divanillyltetrahydrofuran ferulate,HMDB0032730,131751291,NA,COC1=C(O)C=CC(CC2COCC2CC2=CC(OC)=C(OC(=O)\C=C\C3=CC(OC)=C(O)C=C3)C=C2)=C1,1,
"1-(3,4-Dimethoxyphenyl)-1,2-ethanediol 1-O-b-D-glucoside","1-(3,4-Dimethoxyphenyl)-1,2-ethanediol 1-O-b-D-glucoside",HMDB0034626,85242014,NA,COC1=C(OC)C=C(C=C1)C(CO)OC1OC(CO)C(O)C(O)C1O,1,
2-Methylfuran,2-Methylfuran,HMDB0013749,10797,NA,CC1=CC=CO1,1,
Pyrazinamide,Pyrazinamide,HMDB0014483,1046,C01956,C1=CN=C(C=N1)C(=O)N,1,
2'-Deoxyinosine triphosphate,2'-Deoxyinosine triphosphate,HMDB0003537,146302,C01345,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,1,
Sulcatone,Sulcatone,HMDB0035915,9862,C07287,CC(=CCCC(=O)C)C,1,
3-Mercaptolactic acid,3-Mercaptolactic acid,HMDB0002127,160645,C05823,C(C(C(=O)O)O)S,1,
"3,4-Dimethyl-5-pentyl-2-furanundecanoic acid","3,4-Dimethyl-5-pentyl-2-furanundecanoic acid",HMDB0031126,13963867,NA,CCCCCC1=C(C(=C(O1)CCCCCCCCCCC(=O)O)C)C,1,
3-Hydroxydodecanoic acid,3-Hydroxydodecanoic acid,HMDB0000387,94216,NA,CCCCCCCCCC(CC(=O)O)O,1,
Cyclic GMP,Cyclic GMP,HMDB0001314,24316,C00942,C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC(=NC4=O)N)O)OP(=O)(O1)O,1,
4-Hydroxynonenal,4-Hydroxynonenal,HMDB0004362,5283344,NA,CCCCCC(/C=C/C=O)O,1,
Ascorbic acid,Ascorbic acid,HMDB0000044,54670067,C01041,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,1,
N-(3-oxo-hexanoyl)-homoserine lactone,N-(3-oxo-hexanoyl)-homoserine lactone,NA,119133,C11839,CCCC(=O)CC(=O)NC1CCOC1=O,1,
3-Hydroxysuberic acid,3-Hydroxysuberic acid,HMDB0000325,22328017,NA,C(CCC(=O)O)CC(CC(=O)O)O,1,
N-Decanoylglycine,N-Decanoylglycine,HMDB0013267,1712391,NA,CCCCCCCCCC(=O)NCC(=O)O,1,
Dihydrodaidzein,Dihydrodaidzein,HMDB0005760,176907,NA,C1C(C(=O)C2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O,1,
L-Phenylalanine,L-Phenylalanine,HMDB0000159,6140,C00079,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,1,
Uracil,Uracil,HMDB0000300,1174,C00106,C1=CNC(=O)NC1=O,1,
Raltitrexed,Raltitrexed,HMDB0014438,104758,C11372,CC1=NC(=O)C2=C(N1)C=CC(=C2)CN(C)C3=CC=C(S3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,1,
5-Hydroxymethyl-2-furancarboxaldehyde,5-Hydroxymethyl-2-furancarboxaldehyde,HMDB0034355,237332,C11101,C1=C(OC(=C1)C=O)CO,1,
5-Dodecenoic acid,5-Dodecenoic acid,HMDB0000529,5312378,NA,CCCCCC/C=C\CCCC(=O)O,1,
3-O-Methylcoumestrol,3-O-Methylcoumestrol,HMDB0029584,131750884,NA,COC1=CC2=C(C=C1)C1=C(C3=C(O1)C=C(O)C=C3)C(=O)O2,1,
Tetrahydrodeoxycorticosterone,Tetrahydrodeoxycorticosterone,HMDB0000879,101771,C13713,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,1,
Deoxyloganin,Deoxyloganin,METPA0753,NA,C06071,NA,1,
L-Lysine,L-Lysine,HMDB0000182,5962,C00047,C(CCN)C[C@@H](C(=O)O)N,1,
"9,12,13-TriHOME","9,12,13-TriHOME",HMDB0004708,9858729,C14833,CCCCC[C@@H]([C@H](/C=C/[C@H](CCCCCCCC(=O)O)O)O)O,1,
"2,3-Dihydroxyvaleric acid","2,3-Dihydroxyvaleric acid",HMDB0000421,20848966,NA,CCC(C(C(=O)O)O)O,1,
Eplerenone,Eplerenone,HMDB0014838,443872,C12512,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,1,
4-Pyridoxolactone,4-Pyridoxolactone,HMDB0003454,151228,C00971,CC1=NC=C2COC(=O)C2=C1O,1,
Progesterone,Progesterone,HMDB0001830,5994,C00410,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,1,
2-Phosphoglyceric acid,2-Phosphoglyceric acid,HMDB0000362,59,NA,C(C(C(=O)O)OP(=O)(O)O)O,1,
"3,7,11,15,23-Pentaoxolanost-8-en-26-oic acid","3,7,11,15,23-Pentaoxolanost-8-en-26-oic acid",HMDB0035980,74028537,NA,CC(CC(=O)CC(C)C(O)=O)C1CC(=O)C2(C)C3=C(C(=O)CC12C)C1(C)CCC(=O)C(C)(C)C1CC3=O,1,
"1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone","1,1'-(Tetrahydro-6a-hydroxy-2,3a,5-trimethylfuro[2,3-d]-1,3-dioxole-2,5-diyl)bis-ethanone",HMDB0032527,193527,NA,CC(=O)C1(CC2(C(O1)(OC(O2)(C)C(=O)C)C)O)C,1,
Cucurbitacin P,Cucurbitacin P,NA,441822,C08804,CC(C)(O)CCC(=O)(C)(O)1(O)C2(C)3CC=C4(C(O)(O)C4(C)C)3(C)C(=O)C12C,1,
3 Hydroxycoumarin,3 Hydroxycoumarin,HMDB0002149,13650,NA,C1=CC=C2C(=C1)C=C(C(=O)O2)O,1,
Ibuprofen,Ibuprofen,HMDB0001925,3672,C01588,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,
"11,12-Dimethoxydihydrokawain","11,12-Dimethoxydihydrokawain",HMDB0030767,592220,NA,COC1=CC(=O)OC(C1)CCC2=CC(=C(C=C2)OC)OC,1,
Nonadeca-10(Z)-enoic acid,Nonadeca-10(Z)-enoic acid,HMDB0013622,5312513,C00174,CCCCCCCC/C=C\CCCCCCCCC(=O)O,1,
AICAR,AICAR,HMDB0001517,65110,C04677,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N,1,
all-trans-Carophyll yellow,all-trans-Carophyll yellow,HMDB0032879,131751340,NA,CCOC(=O)C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C,1,
2-Methyl-1-methylthio-2-butene,2-Methyl-1-methylthio-2-butene,HMDB0032411,5362832,NA,C/C=C(\C)/CSC,1,
Withaperuvin D,Withaperuvin D,HMDB0030116,131750960,NA,CC1=C(C)C(=O)OC(C1)C(C)(O)C1(O)CCC2(O)C3CC4OC5CC(=O)C(C)(C3CCC12C)C4(O)C5O,1,
6-Deoxohomodolichosterone,6-Deoxohomodolichosterone,HMDB0034430,13870434,NA,C\C=C(/C(C)C)C(O)C(O)C(C)C1CCC2C3CCC4CC(O)C(O)CC4(C)C3CCC12C,1,
